Date,AAPL,AMZN,CAT,DIS,GOOGL,HD,JNJ,JPM,KO,META,MSFT,PG,SPY,UNH,V,XOM
2023-11-14,185.34202575683594,145.8000030517578,239.3017578125,88.2981185913086,132.445556640625,283.2011413574219,136.26202392578125,139.98483276367188,52.68991470336914,333.3823547363281,362.4772644042969,142.5118408203125,433.83074951171875,510.6638488769531,242.33531188964844,95.98397827148438
2023-11-15,185.90567016601562,143.1999969482422,242.4202423095703,91.0710678100586,133.43678283691406,287.45440673828125,137.3140411376953,141.21080017089844,52.791419982910156,329.8137512207031,362.62445068359375,141.8560791015625,434.74920654296875,508.7269287109375,243.4834747314453,95.4041519165039
2023-11-16,187.58663940429688,142.8300018310547,239.63966369628906,91.63341522216797,135.72650146484375,285.8221130371094,138.51370239257812,142.8234100341797,52.736061096191406,331.2808532714844,369.00048828125,143.17701721191406,435.2809143066406,510.0592041015625,243.93490600585938,94.29972839355469
2023-11-17,187.56687927246094,145.17999267578125,244.33187866210938,91.28437042236328,134.12071228027344,286.59625244140625,138.22763061523438,144.1153564453125,52.837562561035156,332.1234436035156,362.8009338378906,141.52818298339844,435.8223571777344,506.7239074707031,244.90647888183594,96.60062408447266
2023-11-20,189.3071746826172,146.1300048828125,241.80233764648438,92.13758087158203,135.0524444580078,287.45440673828125,139.44618225097656,144.55856323242188,52.96674728393555,337.0105285644531,370.24627685546875,140.77870178222656,439.1771240234375,505.5993957519531,245.30882263183594,96.17726135253906
2023-11-21,188.5062255859375,143.89999389648438,240.7982635498047,91.57524108886719,135.76614379882812,284.796142578125,140.57171630859375,144.25680541992188,53.54808807373047,334.04656982421875,365.9596252441406,140.16038513183594,438.2199401855469,509.8420104980469,247.52667236328125,96.14042663574219
2023-11-22,189.16873168945312,146.7100067138672,237.51564025878906,92.1763687133789,137.27276611328125,288.3964538574219,140.2926788330078,144.59629821777344,53.90796661376953,338.5172119140625,370.64849853515625,141.48133850097656,439.9118957519531,513.781982421875,248.9888916015625,95.72628784179688
2023-11-24,187.84373474121094,146.74000549316406,238.8190460205078,93.13623046875,135.48861694335938,289.7955017089844,141.85540771484375,144.79432678222656,54.046382904052734,335.2856750488281,370.2364807128906,141.81861877441406,440.1826171875,516.9378051757812,249.55810546875,96.2416763305664
2023-11-27,187.6657257080078,147.72999572753906,238.84799194335938,92.27332305908203,135.2110595703125,290.00067138671875,140.72055053710938,144.46426391601562,53.94487762451172,331.786376953125,371.3940124511719,141.6874542236328,439.3898010253906,513.6214599609375,249.4010467529297,95.68025970458984
2023-11-28,188.26890563964844,147.02999877929688,238.95419311523438,89.68460083007812,135.9940948486328,292.2578430175781,141.04612731933594,144.79432678222656,54.055606842041016,336.0390319824219,375.406005859375,142.67111206054688,439.8248291015625,510.7301330566406,248.22344970703125,95.62503051757812
2023-11-29,187.25042724609375,146.32000732421875,240.83685302734375,89.68460083007812,133.80355834960938,292.0419006347656,141.4926300048828,145.52992248535156,53.732643127441406,329.30816650390625,371.6294250488281,141.58436584472656,439.5155029296875,505.4860534667969,249.4893798828125,94.18927764892578
2023-11-30,187.82394409179688,146.08999633789062,242.06301879882812,89.86881256103516,131.36512756347656,294.3611145019531,143.86460876464844,147.18968200683594,54.35581588745117,324.3020935058594,371.6882629394531,143.82342529296875,441.2461242675781,522.4842529296875,251.8937225341797,94.55742645263672
2023-12-01,189.0995330810547,147.02999877929688,247.89447021484375,89.76215362548828,130.7010498046875,300.1171569824219,147.32498168945312,147.90635681152344,54.541839599609375,321.99237060546875,367.3721618652344,143.01776123046875,443.8564147949219,518.75830078125,251.6680145263672,94.78750610351562
2023-12-04,187.30975341796875,144.83999633789062,245.953857421875,89.20951080322266,128.1337890625,304.2486267089844,147.7900848388672,148.99085998535156,54.47673797607422,317.2341613769531,362.1044616699219,142.45565795898438,441.52642822265625,519.8201904296875,249.6954345703125,94.2721176147461
2023-12-05,191.25509643554688,146.8800048828125,246.37867736816406,88.02664184570312,129.83868408203125,303.7603454589844,147.4831085205078,148.97195434570312,54.56044006347656,315.519287109375,365.4200439453125,137.49038696289062,441.4394226074219,521.6974487304688,249.8623046875,92.44061279296875
2023-12-06,190.1674346923828,144.52000427246094,247.13172912597656,88.71502685546875,128.87722778320312,306.2110900878906,145.68783569335938,147.4065399169922,54.504638671875,314.6865539550781,361.77093505859375,137.38735961914062,439.6605529785156,521.0052490234375,249.5482635498047,91.21653747558594
2023-12-07,192.09559631347656,146.8800048828125,248.52203369140625,89.53915405273438,135.72650146484375,306.2674865722656,144.552978515625,147.85922241210938,54.63485336303711,323.7469787597656,363.8800048828125,137.246826171875,443.01531982421875,519.8107299804688,251.0497283935547,90.58148956298828
2023-12-08,193.51950073242188,147.4199981689453,250.53985595703125,90.28815460205078,133.80355834960938,306.5491638183594,143.64138793945312,149.4906463623047,54.513938903808594,329.85333251953125,367.0975036621094,135.98207092285156,444.9198913574219,521.2328491210938,250.9712371826172,91.62149047851562
2023-12-11,191.01780700683594,145.88999938964844,251.9108428955078,89.68505859375,132.11846923828125,311.1125183105469,144.23672485351562,150.0376434326172,54.913883209228516,322.4483947753906,364.2232666015625,136.6097869873047,446.65045166015625,515.4589233398438,251.73666381835938,91.68592071533203
2023-12-12,192.53067016601562,147.47999572753906,252.40321350097656,88.58589172363281,131.35523986816406,312.86846923828125,144.2460479736328,151.37677001953125,55.26732635498047,331.3105773925781,367.2445983886719,136.72218322753906,448.6904602050781,517.3930053710938,254.72000122070312,90.24095153808594
2023-12-13,195.7443084716797,148.83999633789062,258.7173767089844,90.29788970947266,131.40480041503906,322.4460754394531,144.91574096679688,151.885986328125,55.74168014526367,331.8260498046875,367.2347717285156,139.1954345703125,454.8779296875,520.51220703125,257.4874572753906,91.04166412353516
2023-12-14,195.8926239013672,147.4199981689453,275.32354736328125,91.37760162353516,130.7803192138672,330.3429260253906,145.92037963867188,154.64907836914062,54.913883209228516,330.2697448730469,358.9556884765625,135.52301025390625,456.3377685546875,506.5087890625,253.905517578125,93.48981475830078
2023-12-15,195.35862731933594,149.97000122070312,275.87384033203125,90.91069793701172,131.43455505371094,332.3993225097656,144.32974243164062,155.8184814453125,54.504638671875,332.0044860839844,363.6641845703125,134.8672637939453,455.5864562988281,503.55078125,253.21852111816406,92.86396789550781
2023-12-18,193.6974639892578,154.07000732421875,275.84490966796875,90.32705688476562,134.60643005371094,329.4039001464844,144.59017944335938,156.76150512695312,54.8952751159668,341.6199951171875,365.5475769042969,136.9376678466797,458.1491394042969,499.21807861328125,253.55215454101562,93.55423736572266
2023-12-19,194.7357177734375,153.7899932861328,282.8445129394531,91.36786651611328,135.44895935058594,330.58709716796875,145.53900146484375,158.8550567626953,54.71856689453125,347.3100280761719,366.14593505859375,136.9376678466797,460.93505859375,496.83831787109375,255.1420135498047,94.78750610351562
2023-12-20,192.64932250976562,152.1199951171875,279.70672607421875,88.78044128417969,137.1240692138672,327.3851623535156,142.57164001464844,157.06329345703125,53.58381652832031,346.23944091796875,363.5562744140625,134.8204345703125,454.5477600097656,489.1493225097656,252.31565856933594,93.20449829101562
2023-12-21,192.5009765625,153.83999633789062,280.0542907714844,89.50997924804688,139.18580627441406,327.6762390136719,144.03207397460938,157.9591827392578,53.9372673034668,351.007568359375,366.4206237792969,135.1483154296875,458.8577880859375,492.894287109375,254.7003631591797,93.62786865234375
2023-12-22,191.43309020996094,153.4199981689453,280.3342590332031,88.5372543334961,140.24642944335938,327.3194274902344,144.6087646484375,157.86485290527344,54.244205474853516,350.3136901855469,367.4407653808594,136.1038818359375,459.7799072265625,493.3019104003906,253.61106872558594,93.79353332519531
2023-12-26,190.8892364501953,153.41000366210938,285.4223327636719,88.46916961669922,140.27613830566406,327.9954833984375,145.24130249023438,158.7984619140625,54.467430114746094,351.74114990234375,367.5193176269531,136.72218322753906,461.72137451171875,493.0364990234375,254.32745361328125,94.00521087646484
2023-12-27,190.98814392089844,153.33999633789062,287.8263854980469,87.91471099853516,139.13623046875,327.2630310058594,145.43667602539062,159.75091552734375,54.60694885253906,354.7150573730469,366.94049072265625,136.83462524414062,462.55621337890625,495.6532287597656,254.1017303466797,93.56344604492188
2023-12-28,191.41331481933594,153.3800048828125,286.6291809082031,87.93417358398438,138.9974822998047,326.1644287109375,145.65061950683594,160.5996551513672,54.6441535949707,355.2008056640625,368.1274719238281,136.5254364013672,462.73089599609375,497.65374755859375,255.5443572998047,92.21051788330078
2023-12-29,190.3750457763672,151.94000244140625,285.4609375,87.8271713256836,138.4622344970703,325.4038391113281,145.79945373535156,160.4110565185547,54.81157302856445,350.8787536621094,368.87298583984375,137.2843017578125,461.391357421875,499.1421813964844,255.49526977539062,92.01724243164062
2024-01-02,183.5621795654297,149.92999267578125,282.6031799316406,88.23571014404297,136.95559692382812,324.0235595703125,148.80398559570312,162.27828979492188,55.639373779296875,343.27557373046875,363.8015441894531,139.3453369140625,458.8092041015625,511.34417724609375,254.04287719726562,94.20769500732422
2024-01-03,182.187744140625,148.47000122070312,274.4835205078125,89.15007019042969,137.69898986816406,317.6197509765625,149.7341766357422,161.5709991455078,55.76958465576172,341.47137451171875,363.53668212890625,138.50218200683594,455.062255859375,513.89453125,253.16944885253906,94.99919891357422
2024-01-04,179.87391662597656,144.57000732421875,276.22137451171875,88.08979797363281,135.19122314453125,317.9295654296875,149.41790771484375,162.64321899414062,55.58356857299805,344.0982971191406,360.9273986816406,139.26100158691406,453.5964660644531,517.1085205078125,254.76905822753906,94.1708755493164
2024-01-05,179.15211486816406,145.24000549316406,278.9536437988281,88.42052459716797,134.53701782226562,322.0141906738281,149.88302612304688,163.45921325683594,55.49985122680664,348.8861999511719,360.7409362792969,138.10870361328125,454.2177429199219,509.48583984375,254.84756469726562,94.4561767578125
2024-01-08,183.4830780029297,149.10000610351562,282.1590881347656,89.05280303955078,137.6197052001953,326.6996765136719,150.25511169433594,163.22201538085938,55.90910339355469,355.537841796875,367.5486755371094,139.29852294921875,460.70208740234375,508.6705322265625,257.64447021484375,92.88236999511719
2024-01-09,183.06777954101562,151.3699951171875,282.1976318359375,87.22408294677734,139.71116638183594,325.0658874511719,150.34811401367188,161.93157958984375,55.80678939819336,354.3185119628906,368.62774658203125,139.86997985839844,460.0032043457031,510.424560546875,258.4197082519531,91.73193359375
2024-01-10,184.10604858398438,153.72999572753906,283.2210693359375,86.85443878173828,141.0294647216797,335.0284118652344,150.57135009765625,162.2731475830078,55.992820739746094,367.2449951171875,375.4747009277344,140.4695587158203,462.6047058105469,509.7324523925781,259.62677001953125,90.8299789428711
2024-01-11,183.51275634765625,155.17999267578125,281.9756164550781,87.01007843017578,140.83120727539062,334.7748718261719,149.90162658691406,161.58998107910156,55.630069732666016,366.45196533203125,377.29925537109375,141.00352478027344,462.40087890625,511.6664733886719,259.10662841796875,90.81157684326172
2024-01-12,183.8390655517578,154.6199951171875,280.3825378417969,87.88553619384766,141.3961944580078,334.0049133300781,151.0550537109375,160.40391540527344,56.16953659057617,371.23004150390625,381.0660400390625,141.08787536621094,462.7211608886719,494.4396667480469,259.24407958984375,91.98963165283203
2024-01-16,181.57467651367188,153.16000366210938,277.31243896484375,90.51187896728516,141.23764038085938,336.5589599609375,149.31558227539062,159.39813232421875,55.79749298095703,364.26116943359375,382.8316955566406,140.3290252685547,461.02239990234375,492.2021789550781,260.2940673828125,89.90963745117188
2024-01-17,180.63531494140625,151.7100067138672,269.00933837890625,87.87580108642578,140.2265625,333.99554443359375,149.23187255859375,158.54415893554688,55.79749298095703,365.1633605957031,382.0470275878906,140.4695587158203,458.45977783203125,497.691650390625,261.6581726074219,89.25617980957031
2024-01-18,186.51873779296875,153.5,272.1664123535156,89.6948013305664,142.21890258789062,336.061279296875,149.95745849609375,158.85726928710938,55.95561218261719,372.8557434082031,386.3631286621094,139.65969848632812,462.5367736816406,489.5380554199219,263.1400146484375,89.09050750732422
2024-01-19,189.41590881347656,155.33999633789062,276.7057800292969,90.52161407470703,145.0934295654297,340.296142578125,150.39462280273438,161.59947204589844,55.648677825927734,380.1120300292969,391.0716857910156,139.1223602294922,468.3028259277344,477.42144775390625,265.8485412597656,89.22856140136719
2024-01-22,191.7198486328125,154.77999877929688,279.993896484375,92.48651123046875,144.7068634033203,334.9251708984375,151.12948608398438,161.4097137451172,55.40684509277344,378.4565734863281,388.95281982421875,139.39576721191406,469.29296875,486.3619384765625,266.1429443359375,89.10891723632812
2024-01-23,192.99542236328125,156.02000427246094,280.1490478515625,91.21224212646484,145.7476043701172,329.37579345703125,148.6551513671875,160.34698486328125,55.66727828979492,381.8467712402344,391.2972717285156,145.16539001464844,470.6616516113281,488.7606201171875,266.20184326171875,90.11209869384766
2024-01-24,192.322998046875,156.8699951171875,281.9435119628906,90.9496078491211,147.39300537109375,326.0799255371094,147.86448669433594,161.77975463867188,54.79296875,387.29888916015625,394.88751220703125,143.41188049316406,471.1761779785156,486.5894775390625,266.5845642089844,91.6675033569336
2024-01-25,191.99671936035156,157.75,291.73016357421875,92.27250671386719,150.53515625,329.55419921875,148.42257690429688,164.094970703125,55.02549743652344,389.75732421875,397.15350341796875,146.71153259277344,473.7388000488281,467.7887878417969,267.526611328125,93.99600982666016
2024-01-26,190.2663116455078,159.1199951171875,290.4304504394531,92.75887298583984,150.8523406982422,333.6199645996094,148.36679077148438,163.46871948242188,55.2208137512207,390.7090148925781,396.23138427734375,147.20175170898438,473.1369934082031,477.080078125,262.94366455078125,94.79671478271484
2024-01-29,189.5840301513672,161.25999450683594,294.13568115234375,94.83076477050781,152.1607666015625,333.99554443359375,148.23658752441406,163.8957061767578,55.5556640625,397.529052734375,401.9110412597656,147.22061157226562,476.88397216796875,478.3505554199219,268.5570983886719,94.91636657714844
2024-01-30,185.93531799316406,159.0,295.60028076171875,94.2957763671875,150.12876892089844,335.3101501464844,147.68772888183594,167.25465393066406,55.71378707885742,396.57745361328125,400.8025817871094,148.47447204589844,476.51507568359375,477.4688415527344,271.9819641113281,96.49938201904297
2024-01-31,182.33604431152344,155.1999969482422,291.2840576171875,93.4300537109375,138.86863708496094,331.4227294921875,147.8086700439453,165.44235229492188,55.33244323730469,386.74383544921875,390.0024719238281,148.14450073242188,468.73968505859375,485.17681884765625,268.16448974609375,94.6218490600586
2024-02-01,184.76852416992188,159.27999877929688,298.4422607421875,94.4124984741211,139.9193115234375,338.0989074707031,147.30633544921875,164.8445281982422,56.71830368041992,391.3433837890625,396.0842590332031,150.0677490234375,474.8746032714844,480.8155212402344,271.8838806152344,94.23530578613281
2024-02-02,183.7698516845703,171.80999755859375,305.6197509765625,94.4805908203125,141.1285858154297,335.4322204589844,145.67849731445312,165.7934112548828,56.309059143066406,470.85516357421875,403.3825378417969,149.04010009765625,479.8738098144531,483.7452392578125,272.01141357421875,93.84874725341797
2024-02-05,185.579345703125,170.30999755859375,311.7401123046875,94.01368713378906,142.41714477539062,333.4697570800781,144.925048828125,165.57518005371094,55.843990325927734,455.4107666015625,397.9186096191406,149.1532745361328,478.12646484375,476.8525390625,270.4412536621094,93.46220397949219
2024-02-06,187.18121337890625,169.14999389648438,313.0205078125,96.58167266845703,142.83348083496094,334.5119934082031,147.0272979736328,166.1444854736328,55.7509880065918,450.7615966796875,397.76171875,149.8603057861328,479.51458740234375,484.1623229980469,271.59930419921875,94.1064453125
2024-02-07,187.29000854492188,170.52999877929688,313.8642883300781,96.43577575683594,144.26080322265625,340.5590515136719,146.95291137695312,166.4575958251953,55.79749298095703,465.5021667480469,406.1585388183594,150.01113891601562,483.5139465332031,492.4298095703125,274.18023681640625,94.07884216308594
2024-02-08,186.2122039794922,169.83999633789062,312.3221130371094,107.52481079101562,144.6275634765625,341.52618408203125,145.48316955566406,165.85984802246094,55.648677825927734,465.9085693359375,406.2174072265625,149.5586395263672,483.7275085449219,493.0934143066406,271.14215087890625,95.68946838378906
2024-02-09,186.9745330810547,174.4499969482422,307.6275939941406,105.43346405029297,147.6903839111328,340.990966796875,145.81805419921875,166.05909729003906,55.39754104614258,464.0350646972656,412.5346374511719,148.4084930419922,486.523193359375,491.3204345703125,271.7812194824219,93.6646728515625
2024-02-12,185.2914276123047,172.33999633789062,311.9632568359375,106.30890655517578,146.2333221435547,343.15057373046875,146.83197021484375,166.7991943359375,55.52775573730469,464.8181457519531,407.34552001953125,148.1162109375,486.30963134765625,490.7705383300781,270.44415283203125,94.95317840576172
2024-02-13,183.20237731933594,168.63999938964844,303.43743896484375,107.44699096679688,143.8643341064453,335.7702331542969,145.54827880859375,165.34747314453125,55.20221710205078,456.11456298828125,398.57586669921875,147.32432556152344,479.6116943359375,490.02154541015625,271.17169189453125,94.13573455810547
2024-02-14,182.32119750976562,170.97999572753906,307.19110107421875,108.5169906616211,144.6572723388672,336.3711853027344,144.86924743652344,167.0269317626953,55.14641189575195,469.1600036621094,402.4282531738281,146.72096252441406,483.9702453613281,490.1068420410156,272.89227294921875,93.67127227783203
2024-02-15,182.03411865234375,169.8000030517578,313.3599853515625,109.3827133178711,141.51515197753906,339.0472412109375,146.89706420898438,170.67051696777344,55.24872970581055,479.81646728515625,399.54876708984375,148.0219268798828,487.3095397949219,493.8424072265625,276.2547607421875,96.3558349609375
2024-02-16,180.49948120117188,169.50999450683594,312.23480224609375,108.55589294433594,139.284912109375,340.2397766113281,146.72836303710938,169.8734893798828,55.23942565917969,469.19970703125,397.0919494628906,148.4933319091797,484.8826904296875,494.4775695800781,273.87542724609375,96.3558349609375
2024-02-20,179.7569122314453,167.0800018310547,304.3103942871094,106.45481872558594,139.87965393066406,340.4463195800781,147.9561767578125,170.53768920898438,56.45787048339844,467.64337158203125,395.84381103515625,149.43609619140625,482.2132263183594,494.0130615234375,270.5227966308594,95.44550323486328
2024-02-21,180.50938415527344,168.58999633789062,307.60821533203125,104.73309326171875,141.2970733642578,341.9112243652344,148.72471618652344,171.64785766601562,56.960140228271484,464.4480285644531,395.2442932128906,151.2178955078125,482.6499938964844,494.87579345703125,272.1056823730469,97.39620971679688
2024-02-22,182.5390167236328,174.5800018310547,312.409423828125,104.70391082763672,142.82354736328125,348.68121337890625,150.38369750976562,173.70689392089844,56.87643051147461,482.40948486328125,404.5509948730469,151.3687286376953,492.63873291015625,499.1706848144531,278.9781799316406,97.31260681152344
2024-02-23,180.70741271972656,174.99000549316406,314.1455993652344,104.80118560791016,142.6947021484375,349.263427734375,151.68646240234375,174.57980346679688,56.92292404174805,480.32550048828125,403.26361083984375,151.8118133544922,492.9784240722656,499.8722839355469,278.8306579589844,96.4580078125
2024-02-26,179.3609161376953,174.72999572753906,315.6004943847656,104.7428207397461,136.36087036132812,348.92535400390625,150.7023468017578,173.98204040527344,56.4671745300293,478.0530700683594,400.5118713378906,151.0482177734375,491.1729431152344,498.0519104003906,279.37139892578125,96.83885955810547
2024-02-27,180.8163299560547,173.5399932861328,317.782958984375,106.43536376953125,137.65933227539062,352.6437072753906,150.8804473876953,174.0674285888672,56.12303161621094,483.3224182128906,400.4529113769531,150.18087768554688,492.0853576660156,486.76953125,278.4079284667969,96.6344985961914
2024-02-28,179.61831665039062,173.16000366210938,319.6548767089844,107.77771759033203,135.1813201904297,354.568603515625,151.4146728515625,174.9498748779297,56.1788444519043,480.3156433105469,400.688720703125,150.88792419433594,491.4349670410156,472.41552734375,280.8265686035156,96.90388488769531
